visit_id,customer_id,store_id,date,entry_timestamp,exit_timestamp
1,1,29,2024-11-03,12:52,13:55
2,1,29,2023-08-15,10:22,11:54
3,1,29,2019-12-23,16:09,18:00
4,1,29,2024-04-17,12:03,12:54
5,1,29,2021-02-10,17:34,18:45
6,1,29,2023-11-19,17:27,18:57
7,1,29,2023-01-23,18:17,18:36
8,2,47,2019-06-17,20:14,21:00
9,2,28,2023-12-01,12:42,14:08
10,2,13,2020-10-23,17:40,18:31
11,3,50,2023-08-18,12:55,13:22
12,3,3,2021-10-10,09:00,10:18
13,4,33,2022-12-20,11:41,13:35
14,5,16,2020-12-05,17:48,19:22
15,5,16,2020-12-01,17:36,19:21
16,5,12,2024-01-03,15:12,15:58
17,5,12,2020-08-14,09:20,10:30
18,5,33,2024-09-16,17:27,18:13
19,6,1,2019-11-04,12:09,13:58
20,6,30,2024-02-21,09:15,11:02
21,6,40,2020-11-18,12:09,14:04
22,6,55,2024-01-07,12:40,13:29
23,6,36,2019-02-19,12:15,13:59
24,6,15,2022-12-03,18:18,19:37
25,6,55,2022-10-07,17:19,17:33
26,6,49,2022-01-18,09:52,10:26
27,7,6,2022-10-03,17:44,19:21
28,7,6,2022-03-21,11:20,11:37
29,7,6,2022-08-03,18:03,19:12
30,7,22,2019-08-26,17:31,18:20
31,7,22,2019-02-19,17:53,18:15
32,7,22,2020-03-10,11:16,12:35
33,7,6,2023-10-25,18:47,20:29
34,7,22,2019-09-02,15:47,17:33
35,7,6,2024-11-17,19:30,20:44
36,7,6,2023-08-09,09:19,10:39
37,8,28,2023-12-18,16:03,16:13
38,8,13,2023-04-19,17:44,18:33
39,8,59,2023-12-19,13:14,14:02
40,8,20,2020-11-21,09:00,09:11
41,8,2,2024-06-28,17:13,19:04
42,8,42,2019-01-27,17:41,18:24
43,8,42,2024-03-25,17:25,19:12
44,8,8,2020-04-20,19:10,20:40
45,9,34,2024-12-20,16:22,16:59
46,9,34,2019-07-26,16:22,17:28
47,9,34,2019-12-29,09:10,10:56
48,9,34,2022-04-07,13:30,14:47
49,9,34,2024-10-26,19:22,20:30
50,9,34,2023-09-22,10:42,12:35
51,10,57,2020-11-03,09:31,10:51
52,10,28,2021-10-31,09:36,09:48
53,11,55,2021-01-29,12:41,12:56
54,12,26,2020-11-21,17:17,18:25
55,13,21,2024-11-28,14:22,14:44
56,13,37,2022-11-18,14:16,15:45
57,14,9,2022-04-04,16:59,17:52
58,14,3,2024-04-18,12:05,13:36
59,14,3,2023-08-14,13:05,13:22
60,14,43,2023-08-28,18:51,20:38
61,14,9,2023-10-24,17:52,18:13
62,14,50,2023-04-03,11:51,13:13
63,14,11,2021-04-27,16:08,17:47
64,14,9,2022-06-20,16:43,17:03
65,14,23,2023-10-20,16:03,17:10
66,14,50,2022-05-29,09:44,10:17
67,15,5,2024-02-22,17:40,17:57
68,15,58,2019-05-13,18:39,19:43
69,15,41,2021-04-22,09:31,11:21
70,15,32,2019-08-28,12:04,13:36
71,15,5,2024-08-23,13:33,14:17
72,15,32,2024-08-05,18:43,20:04
73,15,5,2021-12-30,09:06,09:16
74,15,58,2023-04-22,17:49,19:43
75,16,2,2019-12-19,15:38,17:00
76,16,45,2024-04-07,18:29,20:03
77,16,13,2020-11-16,18:24,19:32
78,16,24,2022-01-23,12:32,14:32
79,16,45,2019-05-24,16:30,17:01
80,16,57,2022-11-08,15:54,16:29
81,17,24,2019-09-14,17:18,17:38
82,17,27,2019-09-24,11:17,12:16
83,17,28,2019-11-07,16:08,16:58
84,17,13,2024-01-27,09:22,10:12
85,17,20,2023-05-26,13:05,13:40
86,17,45,2021-02-25,12:48,13:34
87,17,42,2023-03-16,18:25,19:00
88,17,8,2022-01-05,20:49,21:22
89,17,57,2021-03-16,12:21,13:50
90,18,8,2022-02-02,13:42,15:05
91,18,57,2021-12-12,12:33,13:02
92,18,57,2020-05-08,15:58,17:23
93,18,28,2020-03-28,15:54,16:24
94,18,28,2021-08-23,14:06,15:31
95,18,42,2023-10-30,12:53,14:36
96,18,10,2023-08-28,12:45,13:24
97,18,57,2021-03-01,17:19,17:48
98,18,13,2020-04-12,11:27,12:48
99,18,45,2021-05-29,20:56,21:00
100,19,15,2021-07-23,13:35,15:28
101,19,55,2024-11-15,16:38,18:05
102,19,40,2019-09-11,18:08,18:44
103,19,55,2019-05-04,17:16,18:06
104,19,49,2024-09-22,09:11,09:39
105,19,38,2024-11-27,20:16,21:00
106,19,30,2024-04-08,11:11,11:51
107,19,55,2024-06-10,12:51,14:29
108,20,16,2022-12-07,20:18,20:42
109,20,33,2022-08-22,17:53,18:48
110,20,12,2019-09-01,20:48,21:16
111,20,16,2019-02-28,19:20,20:52
112,20,33,2023-03-01,12:40,13:03
113,20,12,2020-04-15,18:41,20:08
114,20,16,2022-09-12,17:53,18:15
115,21,27,2021-10-20,12:48,13:33
116,21,20,2021-09-06,17:48,17:58
117,21,27,2019-01-06,13:12,14:32
118,21,10,2019-09-29,18:19,19:28
119,21,13,2023-01-14,14:40,16:01
120,21,28,2022-10-24,09:44,11:41
121,22,12,2019-08-17,15:52,17:31
122,22,12,2023-08-04,13:54,14:47
123,22,12,2019-06-16,18:27,20:12
124,22,16,2023-12-26,09:00,09:53
125,22,16,2019-05-20,10:18,11:48
126,23,19,2022-01-10,14:09,15:11
127,23,21,2022-09-10,17:19,18:57
128,23,21,2021-11-03,12:25,13:00
129,23,19,2019-04-02,18:29,19:01
130,23,19,2019-04-26,18:04,19:16
131,23,21,2022-06-27,12:57,13:29
132,23,19,2023-08-01,17:20,19:19
133,24,25,2020-02-27,09:33,11:25
134,24,25,2024-03-14,17:59,19:13
135,24,25,2022-05-08,19:48,20:13
136,24,25,2024-06-14,13:19,14:53
137,24,25,2021-10-17,12:33,14:17
138,24,25,2019-11-08,12:03,14:01
139,24,25,2020-02-23,12:02,13:04
140,24,25,2021-03-07,12:41,13:56
141,25,7,2020-07-24,12:11,13:49
142,25,39,2022-10-14,12:19,14:13
143,25,7,2022-10-17,12:50,13:04
144,26,46,2023-09-17,14:28,15:28
145,26,9,2021-11-26,15:59,16:38
146,26,35,2022-09-28,09:49,10:18
147,26,52,2020-01-21,09:11,09:54
148,26,23,2024-11-18,17:21,17:32
149,26,50,2021-06-19,12:50,13:22
150,26,53,2023-04-10,18:51,20:34
151,26,43,2023-11-15,16:47,18:41
152,26,48,2024-03-14,09:52,10:52
153,27,47,2024-11-24,09:58,10:34
154,27,14,2020-07-31,15:04,16:36
155,27,28,2024-08-21,17:06,17:54
156,27,14,2019-11-06,17:11,17:36
157,27,27,2023-11-28,17:10,18:56
158,27,24,2021-05-11,12:21,13:25
159,27,47,2020-09-05,09:36,10:21
160,27,20,2019-03-01,19:42,20:44
161,28,59,2019-07-19,18:40,19:40
162,29,42,2023-09-19,15:59,17:37
163,29,20,2020-08-24,17:35,18:04
164,30,54,2020-02-28,09:53,11:12
165,30,54,2020-06-24,16:25,17:59
166,30,54,2021-07-23,09:18,10:27
167,31,55,2019-08-09,09:12,11:02
168,31,1,2024-05-27,09:54,11:44
169,31,38,2022-04-19,17:06,19:04
170,31,18,2024-03-12,09:36,11:30
171,31,36,2020-01-05,20:23,20:47
172,31,49,2021-11-06,10:15,11:39
173,31,56,2022-08-21,17:42,19:31
174,32,26,2023-04-18,17:34,19:00
175,32,4,2019-07-30,12:40,13:17
176,33,57,2019-07-18,15:52,17:10
177,33,57,2024-05-26,11:07,12:30
178,34,16,2024-11-24,12:10,12:51
179,35,59,2020-03-07,12:16,13:42
180,35,42,2022-12-31,09:37,10:20
181,35,24,2019-11-08,20:28,20:46
182,36,12,2024-08-17,12:30,14:05
183,36,33,2023-04-23,12:56,14:41
184,36,33,2024-06-13,09:18,09:35
185,36,12,2019-05-29,12:24,13:50
186,36,16,2020-02-07,13:18,14:46
187,36,16,2019-08-20,17:52,19:51
188,36,33,2019-11-20,12:47,14:18
189,36,16,2024-10-10,17:10,17:49
190,36,33,2021-11-11,17:54,18:08
191,37,35,2022-09-06,10:12,11:17
192,37,17,2023-09-03,12:37,13:45
193,37,46,2020-03-25,11:56,13:08
194,37,26,2021-06-14,17:17,18:48
195,37,51,2024-02-28,09:25,09:36
196,37,52,2022-09-01,10:05,10:42
197,37,52,2024-12-03,12:35,13:14
198,37,26,2021-05-10,17:07,19:04
199,37,9,2024-02-14,18:46,20:32
200,37,23,2024-07-07,09:19,11:04
201,38,58,2020-04-02,18:29,19:05
202,38,32,2023-12-11,09:42,10:10
203,38,32,2021-12-03,14:28,16:16
204,38,41,2022-08-11,11:17,13:04
205,38,58,2022-08-15,11:39,13:12
206,38,5,2019-05-26,12:48,14:31
207,38,5,2023-03-08,09:35,10:16
208,39,42,2024-09-06,09:52,11:34
209,39,24,2022-08-11,09:46,11:42
210,40,47,2024-09-16,17:10,18:25
211,40,13,2024-12-17,10:54,11:58
212,40,45,2023-10-19,12:36,13:24
213,40,59,2021-08-24,13:29,15:04
214,40,28,2022-08-05,17:55,18:48
215,41,12,2024-10-28,14:59,16:30
216,41,12,2024-04-21,11:30,12:04
217,41,16,2020-10-24,13:48,14:53
218,42,52,2023-04-28,12:10,12:30
